RowID,Name,smiles-joint,cation,anion,econd_15,econd_20,econd_25,econd_30,econd_40,econd_50,econd_60,econd_70
IL1490,1-butyl-3-methylimidazolium tricyanomethane,CCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,CCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N,,1.027,,,,,2.57,
IL0050,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,0.844333333,1.123047619,1.30073913,1.526809524,1.99647619,2.528380952,,
IL0078,ethylammonium nitrate,CC[NH3+].[O-][N+]([O-])=O,CC[NH3+],[O-][N+]([O-])=O,1.62,1.93,2.364,2.6,3.5143,4.312,,
IL0080,"N-ethyl-N-methyl-N,N-bis(2- hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",CC[N+](C)(CCO)CCO.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CC[N+](C)(CCO)CCO,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.04,0.056,0.076,0.101,0.165,0.253,,
IL0081,"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",CCCC[N+](C)(C)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCC[N+](C)(C)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.11,0.143,0.182,0.214,0.337,0.473,,
IL0082,"N-ethyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",CC[N+](CCO)(CCO)CCO.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CC[N+](CCO)(CCO)CCO,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.011,0.018,0.026,0.037,0.07,0.118,,
IL0083,"N-3-hydroxypropyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",CC[N+](C)(C)CCCO.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CC[N+](C)(C)CCCO,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.069,0.095,0.125,0.162,0.253,0.371,,
IL0085,"N-butyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",CCCC[N+](CCO)(CCO)CCO.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCC[N+](CCO)(CCO)CCO,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.007,0.011,0.016,0.024,0.046,0.082,,
IL0086,"N-methyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",C[N+](CCO)(CCO)CCO.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,C[N+](CCO)(CCO)CCO,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.017,0.025,0.036,0.05,0.09,0.149,,
IL0235,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,Cn1cc[n+](CCO)c1.[O-][S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cn1cc[n+](CCO)c1,[O-][S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0192,0.0278,0.03575,0.054,0.093,0.151,,
IL0615,"1,2-dimethyl-3-propylimidazolium thiocyanate",CCCn1cc[n+](C)c1C.[S-]C#N,CCCn1cc[n+](C)c1C,[S-]C#N,0.255,0.361,0.459,0.583,0.905,1.33,,
IL0616,"1-butyl-2,3-dimethylimidazolium thiocyanate",CCCCn1cc[n+](C)c1C.[S-]C#N,CCCCn1cc[n+](C)c1C,[S-]C#N,0.106,0.153,0.217,0.293,0.496,0.774,,
IL0617,3-(3-cyanopropyl)-1-methylimidazolium bis(fluorosulfonyl)amide,C[n+]1ccn(CCCC#N)c1.F[S](=O)(=O)[N-][S](F)(=O)=O,C[n+]1ccn(CCCC#N)c1,F[S](=O)(=O)[N-][S](F)(=O)=O,0.106,0.134,0.182,0.234,0.377,0.584,,
IL0618,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,C[n+]1ccn(CCCC#N)c1.[O-][S](=O)(=O)C(F)(F)F,C[n+]1ccn(CCCC#N)c1,[O-][S](=O)(=O)C(F)(F)F,0.023,0.033,0.046,0.06,0.104,0.161,,
IL1608,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,Cn1cc[n+](CCO)c1.[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cn1cc[n+](CCO)c1,[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0145,0.0217,0.0315,0.0455,0.086,0.148,,
